aaa,9850104,9832,192,484
aab,9986017,8173,9,21
aac,9857865,8325,71,145
aad,9958821,8432,262,362
aae,9919970,10085,80,222
aaf,9636317,10545,165,321
aag,9949272,7545,7,22
aba,9919474,8866,105,233
abb,9915710,10435,302,745
abc,9897321,7992,221,303
abd,9736277,8291,114,210
abe,9956714,9974,238,397
abf,8754521,9518,158,320
abg,9956021,7647,129,245
aca,9986168,8567,37,52
acb,9619618,9531,70,254
acc,9822549,8122,79,150
acd,9989710,9812,91,240
ace,9872874,9423,11,36
acf,9918439,7393,147,196
acg,9995186,8586,32,129
ada,9826055,8867,222,466
adb,9890955,7785,5,10
adc,9512767,9332,112,160
add,9966451,7716,63,98
ade,9851886,9529,105,167
adf,9726811,9799,188,403
adg,9592764,8183,66,116
aea,9909772,8747,5,13
aeb,9754890,9556,166,254
aec,9382035,9343,52,171
aed,9913871,9564,239,449
aee,9850398,7773,257,442
aef,9339610,8997,115,255
aeg,9920207,9842,121,220
afa,9587873,8817,53,119
afb,9915477,6469,383,824
afc,9688431,9034,70,112
afd,9944514,8041,68,154
afe,9876197,7714,272,412
aff,9681905,8304,5,14
afg,9758763,10852,42,119
aga,9930906,8427,105,165
agb,9621312,8726,75,259
agc,9690686,8793,32,85
agd,9925209,8666,157,331
age,9793636,8901,48,111
agf,9986702,10604,6,19
agg,9876406,9229,161,246
baa,9946130,7576,264,409
bab,9841283,8924,169,254
bac,9925386,6890,58,111
bad,9660602,8227,44,84
bae,9730382,9713,11,47
baf,9997795,9326,77,154
bag,9531697,11393,171,299
bba,9922479,8829,5,11
bbb,9999016,10637,41,106
bbc,9965085,8565,89,157
bbd,9911928,10217,59,272
bbe,9992367,8124,6,13
bbf,9895529,9693,8,21
bbg,9955747,8008,63,117
bca,9769287,8885,81,229
bcb,9888714,7971,1449,2647
bcc,9960554,8376,73,142
bcd,9883310,9412,257,742
bce,9821507,7564,285,418
bcf,9993795,8318,122,291
bcg,9926459,6798,12,26
bda,9999134,9619,356,959
bdb,9989765,8775,195,273
bdc,9948308,9125,256,434
bdd,9815258,9583,232,421
bde,9679077,9773,5,10
bdf,9758960,9638,89,138
bdg,9578851,10228,38,102
bea,9790324,9084,204,533
beb,9857535,8618,16,61
bec,9846612,8702,39,71
bed,9846619,7873,105,138
bee,9950718,10684,91,146
bef,9354380,9702,16,71
beg,9853763,8640,52,109
bfa,9629335,9949,104,235
bfb,9915667,9025,52,107
bfc,9847518,10724,23,93
bfd,9809054,8960,137,218
bfe,9946324,9018,107,218
bff,9599480,7403,9,20
bfg,9947195,8425,10,28
bga,9955599,10342,16,33
bgb,9704808,8907,16,27
bgc,9580255,9468,41,81
bgd,9674098,8749,305,465
bge,9873036,10203,66,192
bgf,9702633,8754,8,19
bgg,9778556,10480,573,916
caa,9914572,10343,36,160
cab,9915583,8175,62,122
cac,9667116,8816,176,465
cad,9854040,9193,115,186
cae,9956891,7752,101,155
caf,9909750,9041,8,38
cag,9697070,8513,14,54
cba,9852958,8963,165,312
cbb,9906394,9355,33,84
cbc,9876662,9640,20,69
cbd,9809858,9265,236,415
cbe,9848338,11493,94,246
cbf,8950713,10084,117,291
cbg,9674819,8468,168,280
cca,9976260,9546,65,111
ccb,9933397,8123,232,348
ccc,9898333,8759,51,148
ccd,9627964,11174,111,219
cce,9501031,8276,75,130
ccf,9690689,7914,114,221
ccg,9950730,7617,198,342
cda,9900506,9464,56,110
cdb,9765183,7814,78,109
cdc,9781803,8320,21,109
cdd,9637969,8236,82,184
cde,9997217,7805,37,135
cdf,9920870,11398,189,321
cdg,9710733,7667,336,512
cea,9869513,9172,182,329
ceb,9852436,7325,224,347
cec,9842425,9764,166,410
ced,9749006,10864,186,286
cee,9684466,10613,257,561
cef,9874009,8344,149,233
ceg,9990342,7553,179,294
cfa,9659953,9224,161,260
cfb,9917210,9892,34,67
cfc,9949500,9252,100,247
cfd,9676889,7493,5,9
cfe,9773729,7433,9,24
cff,9834525,7854,107,231
cfg,9782916,8902,40,114
cga,9954253,7673,64,147
cgb,9525236,9960,293,483
cgc,9696575,8034,358,627
cgd,9978704,8070,53,150
cge,9769618,8292,149,247
cgf,9903072,10350,52,257
cgg,9973598,7889,92,183
daa,9964441,12591,328,637
dab,9905290,9096,77,198
dac,9759127,9982,6,16
dad,9413446,10730,214,405
dae,9791891,10031,81,207
daf,9838199,7985,15,53
dag,9858766,9433,5,5
dba,9971833,9436,265,421
dbb,9820065,9580,5,6
dbc,9992365,9163,8,21
dbd,9791511,9463,5,9
dbe,9761784,8565,159,328
dbf,9696845,9171,54,189
dbg,9717667,9215,55,185
dca,9740423,8875,162,219
dcb,9803901,9558,100,303
dcc,9399187,8683,51,123
dcd,9704732,9732,9,28
dce,9879741,8614,113,264
dcf,9861545,10316,198,297
dcg,9952462,9346,61,142
dda,9313420,9758,137,294
ddb,9991771,7740,239,324
ddc,9971174,10298,28,49
ddd,9993920,9503,116,271
dde,9909030,9254,25,83
ddf,9695032,8599,5,16
ddg,9840119,7319,85,226
dea,9846294,8219,114,180
deb,9754704,8646,269,401
dec,9913720,7947,41,91
ded,9932134,9255,225,392
dee,9813121,8520,38,81
def,9728506,9634,560,994
deg,9973717,8313,133,383
dfa,9902023,10739,89,278
dfb,9882558,8778,79,140
dfc,9935533,7720,104,167
dfd,9693627,7697,9,32
dfe,9657505,9194,549,1785
dff,9994553,7600,180,261
dfg,9959087,9386,39,57
dga,9893147,8273,113,156
dgb,9872292,8412,256,380
dgc,9232865,9917,323,593
dgd,9970069,9394,168,296
dge,9931586,6827,12,40
dgf,9929992,9243,224,356
dgg,9841694,6495,121,227
eaa,9596754,8931,64,169
eab,9963908,7532,270,449
eac,9380763,9407,5,10
ead,9615478,9722,145,214
eae,9913984,10929,39,61
eaf,9866159,10840,38,150
eag,9838099,9248,218,481
eba,9943172,9742,70,157
ebb,9789235,9386,91,201
ebc,9624018,8997,37,74
ebd,9907256,10819,208,354
ebe,9742075,7956,150,355
ebf,9946047,9053,5,6
ebg,9993441,8325,87,123
eca,9993607,8924,91,221
ecb,9880436,8905,149,215
ecc,9707861,9304,88,189
ecd,9675711,8949,152,264
ece,9523336,8089,178,231
ecf,9769741,10431,228,390
ecg,9852784,8344,107,239
eda,9926972,9511,19,58
edb,9780916,7920,48,82
edc,9907679,9384,187,313
edd,9564778,8653,6,19
ede,9742810,10322,197,378
edf,9906052,8644,277,412
edg,9984489,8984,117,204
eea,9928685,8860,56,152
eeb,9993705,6805,263,426
eec,9789715,8047,268,470
eed,9988755,9290,193,321
eee,9630498,9305,257,351
eef,9750910,7983,132,272
eeg,9679465,9969,286,447
efa,9899513,8294,134,189
efb,9944195,8463,155,408
efc,9263930,9704,110,278
efd,9979224,8880,105,255
efe,9973379,9082,99,194
eff,9782188,10101,82,268
efg,9885285,7131,102,233
ega,9966741,8071,109,300
egb,9991118,8488,103,202
egc,9981074,8861,115,167
egd,9809365,8682,9,20
ege,9973992,8021,125,201
egf,9989498,9262,466,1305
egg,9729782,8897,99,182
faa,9921841,9051,180,259
fab,9904538,8510,15,46
fac,9519934,9071,43,117
fad,9994036,7804,583,1043
fae,9968869,8040,97,257
faf,9658324,9359,5,8
fag,9789465,9624,64,179
fba,9041426,8626,294,430
fbb,9908022,9731,46,114
fbc,9967137,8814,46,103
fbd,9900539,9881,83,136
fbe,9891878,10545,70,170
fbf,9865301,9260,72,237
fbg,9885632,10276,44,73
fca,9978128,9732,148,231
fcb,9936799,8718,15,50
fcc,9691428,10465,49,127
fcd,9815971,8808,32,111
fce,9711256,9207,247,427
fcf,9950717,10784,39,181
fcg,9834861,9066,5,19
fda,9958199,9515,34,106
fdb,9936537,8193,33,53
fdc,9976797,9799,81,122
fdd,9889633,9396,241,405
fde,9735157,8165,75,144
fdf,9631074,9691,146,239
fdg,9992081,8198,121,278
fea,9993456,8780,53,142
feb,9766211,9421,158,389
fec,9836278,7605,222,291
fed,9748449,8504,514,843
fee,9895394,10810,131,287
fef,9894283,9556,146,197
feg,9982338,8493,101,275
ffa,9879171,7990,145,287
ffb,9705683,8761,257,452
ffc,9869836,9260,94,190
ffd,9707169,8081,33,90
ffe,9913786,9731,286,600
fff,9832752,7680,39,92
ffg,9819045,6982,77,231
fga,9985175,9437,75,171
fgb,9804151,7566,142,264
fgc,9945679,8593,57,122
fgd,9528434,9030,200,317
fge,9958387,8804,103,189
fgf,9591226,8591,9,29
fgg,9972090,8127,80,143
gaa,9770909,9107,98,248
gab,9567861,8401,131,212
gac,9863863,9553,65,176
gad,9712980,8558,223,441
gae,9673609,9708,74,216
gaf,9956131,10008,8,30
gag,9886076,8085,59,127
gba,9865550,8992,105,225
gbb,9944739,7424,188,262
gbc,9919632,8691,71,160
gbd,9707268,8958,172,295
gbe,9293953,9072,375,565
gbf,9797694,9256,28,119
gbg,9703986,11474,5,7
gca,9993266,8347,118,173
gcb,9603575,9401,81,166
gcc,9979660,8216,104,244
gcd,9996612,7209,216,372
gce,9880595,10097,198,315
gcf,9705273,9232,472,681
gcg,9997485,6847,602,1036
gda,9835167,9273,175,401
gdb,9964773,10504,18,58
gdc,9943676,9701,111,326
gdd,9828918,9238,185,302
gde,9983926,9876,10,34
gdf,9553901,8293,93,379
gdg,9857371,8323,70,157
gea,9859655,9578,15,51
geb,9996189,9733,14,62
gec,9929626,10008,59,146
ged,9578352,8363,79,166
gee,9895115,10070,66,134
gef,9987616,6831,44,126
geg,9794744,9781,45,84
gfa,9843940,10186,11,31
gfb,9943410,9846,346,716
gfc,9916622,8805,326,506
gfd,9655870,8565,160,233
gfe,9840126,9922,443,733
gff,9823225,9826,94,196
gfg,9977341,9172,73,152
gga,9582074,11183,324,555
ggb,9949779,10149,103,151
ggc,9850186,9141,88,153
ggd,9790288,7817,318,491
gge,9785450,8571,237,392
ggf,9996714,9723,12,55
ggg,9936771,9696,319,565
